ticker,requested_start,actual_start,actual_end,n_bars,coverage_ok,note
AAPL,2020-01-01,2020-01-02,2026-04-15,1579,True,
MSFT,2020-01-01,2020-01-02,2026-04-15,1579,True,
GOOGL,2020-01-01,2020-01-02,2026-04-15,1579,True,
NVDA,2020-01-01,2020-01-02,2026-04-15,1579,True,
META,2020-01-01,2020-01-02,2026-04-15,1579,True,
AMZN,2020-01-01,2020-01-02,2026-04-15,1579,True,
TSLA,2020-01-01,2020-01-02,2026-04-15,1579,True,
HD,2020-01-01,2020-01-02,2026-04-15,1579,True,
NKE,2020-01-01,2020-01-02,2026-04-15,1579,True,
WMT,2020-01-01,2020-01-02,2026-04-15,1579,True,
JPM,2020-01-01,2020-01-02,2026-04-15,1579,True,
V,2020-01-01,2020-01-02,2026-04-15,1579,True,
MA,2020-01-01,2020-01-02,2026-04-15,1579,True,
BRK-B,2020-01-01,2020-01-02,2026-04-15,1579,True,
GS,2020-01-01,2020-01-02,2026-04-15,1579,True,
UNH,2020-01-01,2020-01-02,2026-04-15,1579,True,
JNJ,2020-01-01,2020-01-02,2026-04-15,1579,True,
PFE,2020-01-01,2020-01-02,2026-04-15,1579,True,
ABBV,2020-01-01,2020-01-02,2026-04-15,1579,True,
MRK,2020-01-01,2020-01-02,2026-04-15,1579,True,
XOM,2020-01-01,2020-01-02,2026-04-15,1579,True,
CVX,2020-01-01,2020-01-02,2026-04-15,1579,True,
LIN,2020-01-01,2020-01-02,2026-04-15,1579,True,
APD,2020-01-01,2020-01-02,2026-04-15,1579,True,
FCX,2020-01-01,2020-01-02,2026-04-15,1579,True,
SMCI,2020-01-01,2020-01-02,2026-04-15,1579,True,
MELI,2020-01-01,2020-01-02,2026-04-15,1579,True,
COIN,2020-01-01,2021-04-14,2026-04-15,1257,False,dati disponibili solo da 2021-04-14 (richiesto 2020-01-01)
MSTR,2020-01-01,2020-01-02,2026-04-15,1579,True,
PLTR,2020-01-01,2020-09-30,2026-04-15,1391,False,dati disponibili solo da 2020-09-30 (richiesto 2020-01-01)
