ticker,sector,direction,composite_score,s_revenue_growth,s_op_margin,s_fcf_yield,s_debt_score,s_debt_equity_orig,is_financial,scoring_method,s_insider,data_quality_0_4,revenue_qoq_pct,revenue_yoy_pct,op_margin_pct,fcf_yield_pct,debt_equity_ratio,insider_pct,market_cap_B
AAPL,Technology,LONG,84.40,100.00,100.00,82.20,83.20,,False,debt_equity,56.60,4,40.30,15.65,35.37,3.22,1.03,0.02,3828.50
MSFT,Technology,LONG,85.10,100.00,100.00,78.10,97.10,,False,debt_equity,50.30,4,4.63,16.72,47.09,2.81,0.15,0.00,2756.40
GOOGL,Technology,LONG,82.30,100.00,95.30,69.10,94.90,,False,debt_equity,52.30,4,11.22,18.00,31.57,1.91,0.14,0.01,3837.70
NVDA,Technology,LONG,87.40,100.00,100.00,71.10,99.30,,False,debt_equity,66.80,4,19.51,73.21,65.02,2.11,0.07,0.04,4584.70
META,Technology,LONG,83.40,100.00,99.70,78.90,88.00,,False,debt_equity,50.40,4,16.88,23.78,41.32,2.89,0.39,0.00,1593.30
AMZN,Consumer Disc.,LONG,82.00,100.00,79.00,53.00,92.00,,False,debt_equity,85.80,4,18.44,13.63,11.71,0.30,0.37,0.09,2563.60
TSLA,Consumer Disc.,NEUTRAL,63.60,0.00,73.30,54.80,95.50,,False,debt_equity,94.60,4,-11.37,-3.14,6.31,0.48,0.18,0.11,1309.40
HD,Consumer Disc.,NEUTRAL,46.00,2.40,69.60,87.60,20.00,,False,debt_equity,50.30,4,-7.63,-3.79,10.08,3.76,5.10,0.00,336.00
NKE,Consumer Disc.,NEUTRAL,54.70,4.00,66.30,66.60,81.00,,False,debt_equity,55.80,4,-9.24,0.09,4.90,1.66,0.79,0.01,63.10
WMT,Consumer Disc.,LONG,81.50,95.10,61.90,64.80,85.70,,False,debt_equity,100.00,4,6.22,5.60,4.57,1.48,0.67,0.45,1010.70
JPM,Financials,NEUTRAL,52.30,60.70,50.00,0.00,99.30,62.80,True,debt_to_assets,51.70,4,-1.37,7.02,,-17.68,,0.00,835.70
V,Financials,LONG,87.20,94.80,100.00,89.10,100.00,86.20,True,debt_to_assets,52.30,4,1.65,14.63,68.30,3.91,,0.01,586.80
MA,Financials,LONG,87.40,100.00,97.80,86.90,100.00,45.90,True,debt_to_assets,52.20,4,2.37,17.59,58.24,3.69,,0.01,445.00
BRK-B,Financials,LONG,73.30,100.00,50.00,65.60,100.00,95.70,True,debt_to_assets,51.10,4,,9.83,,1.56,,0.00,1035.10
GS,Financials,NEUTRAL,40.10,0.00,50.00,0.00,98.60,7.90,True,debt_to_assets,52.10,4,-11.39,-2.99,,-17.53,,0.01,269.40
UNH,Healthcare,LONG,69.80,81.00,34.90,100.00,79.60,,False,debt_equity,53.30,4,0.05,12.31,0.34,5.82,0.83,0.01,276.20
JNJ,Healthcare,LONG,78.80,84.60,88.90,83.60,86.90,,False,debt_equity,50.20,4,2.38,9.08,22.76,3.36,0.59,0.00,574.70
PFE,Healthcare,LONG,77.00,74.20,80.00,100.00,80.30,,False,debt_equity,50.40,4,5.42,-1.17,21.00,5.93,0.74,0.00,153.10
ABBV,Healthcare,LONG,89.80,100.00,100.00,98.40,100.00,,False,debt_equity,50.50,4,5.34,10.04,34.96,4.84,-20.64,0.00,367.80
MRK,Healthcare,LONG,66.20,37.10,80.00,91.20,72.20,,False,debt_equity,50.30,4,-5.07,4.97,24.79,4.12,0.94,0.00,300.20
XOM,Energy,NEUTRAL,63.90,27.10,59.50,87.20,95.30,,False,debt_equity,50.30,4,-3.95,-1.26,7.50,3.72,0.17,0.00,633.90
CVX,Energy,LONG,69.90,12.10,70.90,94.20,94.10,,False,debt_equity,78.10,4,-4.95,-5.27,8.79,4.42,0.22,0.07,375.60
LIN,Materials,LONG,74.90,73.20,98.90,71.80,79.50,,False,debt_equity,51.00,4,1.73,5.82,26.84,2.18,0.73,0.00,233.20
APD,Materials,NEUTRAL,57.80,54.40,100.00,7.70,69.50,,False,debt_equity,57.60,4,-2.03,5.83,24.38,-4.23,1.18,0.02,66.50
FCX,Materials,NEUTRAL,53.80,0.00,69.30,61.50,85.70,,False,debt_equity,52.70,4,-19.21,-1.52,14.40,1.15,0.56,0.01,97.40
SMCI,Technology,LONG,83.10,100.00,60.40,79.00,76.30,,False,debt_equity,100.00,4,152.75,123.36,3.74,2.90,0.70,0.14,15.20
MELI,Consumer Disc.,LONG,80.90,100.00,70.00,100.00,54.90,,False,debt_equity,79.40,4,18.22,44.56,10.15,11.98,1.69,0.07,89.90
COIN,Crypto-Proxy,NEUTRAL,62.50,0.00,72.70,100.00,84.40,,False,debt_equity,55.40,4,-4.69,-21.59,17.10,5.36,0.53,0.01,45.30
MSTR,Crypto-Proxy,NEUTRAL,44.20,32.60,41.30,0.00,96.70,,False,debt_equity,50.60,4,-4.43,1.90,-8.11,-50.62,0.19,0.00,44.60
PLTR,Technology,LONG,84.20,100.00,100.00,56.90,99.50,,False,debt_equity,64.40,4,19.11,70.00,40.90,0.69,0.03,0.04,306.30
