,AAPL,MSFT,GOOGL,NVDA,META,AMZN,TSLA,HD,NKE,WMT,JPM,V,MA,BRK-B,GS,UNH,JNJ,PFE,ABBV,MRK,XOM,CVX,LIN,APD,FCX,SMCI,MELI,COIN,MSTR,PLTR
AAPL,1.0,0.183,0.346,0.312,0.273,0.383,0.323,0.304,0.267,0.114,0.321,0.32,0.308,0.258,0.395,-0.056,0.055,0.179,0.134,0.177,0.024,0.044,0.153,0.197,0.24,0.165,0.211,0.226,0.154,0.147
MSFT,0.183,1.0,0.206,0.439,0.375,0.394,0.27,0.11,0.083,-0.009,0.281,0.201,0.157,0.016,0.316,0.009,-0.144,-0.035,0.041,-0.147,-0.124,-0.059,0.061,0.021,0.153,0.305,0.269,0.36,0.359,0.357
GOOGL,0.346,0.206,1.0,0.331,0.329,0.414,0.366,0.174,0.076,0.002,0.29,0.139,0.133,0.007,0.329,0.09,-0.002,0.061,0.043,0.078,-0.16,-0.117,0.009,0.098,0.277,0.223,0.23,0.257,0.149,0.245
NVDA,0.312,0.439,0.331,1.0,0.431,0.406,0.431,0.039,0.085,-0.111,0.352,0.072,0.016,-0.124,0.452,0.006,-0.177,-0.021,0.045,-0.076,-0.08,-0.008,-0.066,0.019,0.302,0.5,0.244,0.443,0.374,0.423
META,0.273,0.375,0.329,0.431,1.0,0.523,0.324,0.211,0.182,0.041,0.37,0.257,0.33,0.085,0.368,0.055,-0.172,-0.014,0.036,0.024,-0.111,-0.079,0.082,0.074,0.308,0.237,0.308,0.305,0.19,0.29
AMZN,0.383,0.394,0.414,0.406,0.523,1.0,0.348,0.276,0.225,-0.036,0.358,0.267,0.289,0.15,0.345,0.073,-0.192,0.044,-0.06,0.029,-0.069,-0.004,0.088,0.111,0.281,0.251,0.339,0.409,0.253,0.308
TSLA,0.323,0.27,0.366,0.431,0.324,0.348,1.0,0.203,0.182,0.031,0.321,0.121,0.065,0.104,0.321,0.048,-0.038,0.117,0.066,0.082,0.037,0.096,0.065,0.126,0.208,0.3,0.199,0.374,0.373,0.429
HD,0.304,0.11,0.174,0.039,0.211,0.276,0.203,1.0,0.416,0.38,0.295,0.33,0.37,0.353,0.303,0.084,0.257,0.313,0.234,0.326,0.003,0.019,0.374,0.343,0.236,0.099,0.185,0.033,0.04,-0.022
NKE,0.267,0.083,0.076,0.085,0.182,0.225,0.182,0.416,1.0,0.111,0.254,0.303,0.325,0.263,0.24,0.056,0.126,0.246,0.116,0.272,0.175,0.198,0.218,0.224,0.115,0.123,0.087,0.12,0.11,-0.048
WMT,0.114,-0.009,0.002,-0.111,0.041,-0.036,0.031,0.38,0.111,1.0,0.064,0.149,0.163,0.19,0.039,0.0,0.254,0.006,0.134,0.126,-0.035,-0.108,0.242,0.157,0.036,-0.064,-0.131,-0.062,0.05,-0.021
JPM,0.321,0.281,0.29,0.352,0.37,0.358,0.321,0.295,0.254,0.064,1.0,0.451,0.445,0.311,0.726,0.088,-0.028,0.144,0.083,0.142,-0.004,0.059,0.173,0.252,0.271,0.316,0.263,0.415,0.247,0.296
V,0.32,0.201,0.139,0.072,0.257,0.267,0.121,0.33,0.303,0.149,0.451,1.0,0.887,0.385,0.371,0.204,0.138,0.224,0.213,0.224,-0.071,-0.064,0.356,0.255,0.133,0.067,0.233,0.093,0.05,0.111
MA,0.308,0.157,0.133,0.016,0.33,0.289,0.065,0.37,0.325,0.163,0.445,0.887,1.0,0.365,0.361,0.144,0.131,0.225,0.23,0.21,-0.056,-0.034,0.385,0.295,0.113,0.007,0.227,0.09,0.059,0.098
BRK-B,0.258,0.016,0.007,-0.124,0.085,0.15,0.104,0.353,0.263,0.19,0.311,0.385,0.365,1.0,0.148,0.135,0.174,0.261,0.225,0.264,0.112,0.136,0.256,0.335,-0.006,-0.018,0.06,0.012,-0.106,-0.07
GS,0.395,0.316,0.329,0.452,0.368,0.345,0.321,0.303,0.24,0.039,0.726,0.371,0.361,0.148,1.0,0.06,-0.028,0.166,0.113,0.094,-0.04,-0.016,0.122,0.169,0.395,0.286,0.347,0.476,0.341,0.343
UNH,-0.056,0.009,0.09,0.006,0.055,0.073,0.048,0.084,0.056,0.0,0.088,0.204,0.144,0.135,0.06,1.0,0.054,0.104,0.064,0.18,-0.06,-0.025,0.129,0.086,0.039,0.036,-0.0,0.022,0.043,0.028
JNJ,0.055,-0.144,-0.002,-0.177,-0.172,-0.192,-0.038,0.257,0.126,0.254,-0.028,0.138,0.131,0.174,-0.028,0.054,1.0,0.336,0.415,0.46,0.029,-0.001,0.261,0.196,0.104,-0.132,-0.064,-0.231,-0.084,-0.137
