conviction,agents_agreeing,direction,vix_level,vix_regime,veto_rule_based,signal_was_correct,false_rejection,false_acceptance,conv_bucket
0.797,6,SHORT,37.908,CRISIS,False,False,False,True,Alta (0.7-1.0)
0.495,1,NEUTRAL,23.016,NORMAL,True,True,True,False,Media (0.3-0.55)
0.873,3,LONG,24.904,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.728,3,LONG,23.675,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.185,5,NEUTRAL,13.925,LOW,True,False,False,False,Bassa (0-0.3)
0.978,1,SHORT,19.131,NORMAL,True,True,True,False,Alta (0.7-1.0)
0.785,3,SHORT,15.383,LOW,False,True,False,False,Alta (0.7-1.0)
0.807,1,LONG,22.248,NORMAL,True,True,True,False,Alta (0.7-1.0)
0.215,5,LONG,22.495,NORMAL,True,False,False,False,Bassa (0-0.3)
0.505,4,SHORT,24.050,NORMAL,True,False,False,False,Media (0.3-0.55)
0.434,3,LONG,12.182,LOW,True,True,True,False,Media (0.3-0.55)
0.934,3,LONG,27.696,ELEVATED,False,False,False,True,Alta (0.7-1.0)
0.679,1,SHORT,14.451,LOW,True,False,False,False,Buona (0.55-0.7)
0.840,6,SHORT,14.625,LOW,False,False,False,True,Alta (0.7-1.0)
0.499,4,NEUTRAL,20.423,NORMAL,True,False,False,False,Media (0.3-0.55)
0.305,2,LONG,13.562,LOW,True,False,False,False,Media (0.3-0.55)
0.599,3,LONG,23.051,NORMAL,False,False,False,True,Buona (0.55-0.7)
0.157,5,NEUTRAL,23.250,NORMAL,True,False,False,False,Bassa (0-0.3)
0.845,5,LONG,14.560,LOW,False,True,False,False,Alta (0.7-1.0)
0.668,3,LONG,29.370,ELEVATED,False,True,False,False,Buona (0.55-0.7)
0.782,2,LONG,27.291,ELEVATED,False,False,False,True,Alta (0.7-1.0)
0.419,4,SHORT,17.351,LOW,True,False,False,False,Media (0.3-0.55)
0.974,4,NEUTRAL,17.882,LOW,False,True,False,False,Alta (0.7-1.0)
0.904,4,SHORT,14.106,LOW,False,True,False,False,Alta (0.7-1.0)
0.801,1,SHORT,22.967,NORMAL,True,True,True,False,Alta (0.7-1.0)
0.275,3,LONG,11.781,LOW,True,False,False,False,Bassa (0-0.3)
0.520,4,LONG,20.927,NORMAL,True,True,True,False,Media (0.3-0.55)
0.139,6,LONG,23.452,NORMAL,True,True,True,False,Bassa (0-0.3)
0.239,4,LONG,13.057,LOW,True,True,True,False,Bassa (0-0.3)
0.715,3,LONG,24.080,NORMAL,False,False,False,True,Alta (0.7-1.0)
0.770,4,LONG,15.326,LOW,False,True,False,False,Alta (0.7-1.0)
0.971,2,LONG,49.840,CRISIS,False,True,False,False,Alta (0.7-1.0)
0.393,1,SHORT,26.352,ELEVATED,True,True,True,False,Media (0.3-0.55)
0.433,5,SHORT,24.006,NORMAL,True,False,False,False,Media (0.3-0.55)
0.523,6,LONG,19.822,NORMAL,True,True,True,False,Media (0.3-0.55)
0.271,6,LONG,24.428,NORMAL,True,False,False,False,Bassa (0-0.3)
0.217,4,SHORT,10.365,LOW,True,False,False,False,Bassa (0-0.3)
0.528,1,SHORT,24.929,NORMAL,True,True,True,False,Media (0.3-0.55)
0.304,6,NEUTRAL,14.173,LOW,True,False,False,False,Media (0.3-0.55)
0.703,3,LONG,21.302,NORMAL,False,True,False,False,Alta (0.7-1.0)
0.493,2,NEUTRAL,30.777,ELEVATED,True,True,True,False,Media (0.3-0.55)
0.849,6,LONG,17.176,LOW,False,False,False,True,Alta (0.7-1.0)
0.730,5,LONG,14.418,LOW,False,True,False,False,Alta (0.7-1.0)
