ticker,date,direction,score,rsi,fwd_return_3d,fwd_return_5d,fwd_return_10d,win_3d,win_5d,win_10d
AAPL,2025-04-24,LONG,65.0,,0.0136,0.0238,-0.0522,True,True,False
AAPL,2025-04-25,LONG,65.0,,0.0154,-0.0188,-0.0514,True,False,False
AAPL,2025-04-28,LONG,65.0,,0.0151,-0.0535,0.0044,True,False,True
AAPL,2025-04-29,LONG,65.0,,-0.0277,-0.0601,0.0095,False,False,True
AAPL,2025-05-07,SHORT,35.0,61.2,0.0755,0.0834,0.0311,False,False,False
AAPL,2025-05-08,SHORT,35.0,62.3,0.0796,0.0721,0.0209,False,False,False
AAPL,2025-05-12,LONG,80.0,71.7,0.0031,-0.0095,-0.0502,True,False,False
AAPL,2025-05-13,LONG,80.0,72.9,-0.0078,-0.0285,-0.0588,False,False,False
AAPL,2025-05-14,LONG,80.0,72.0,-0.0167,-0.0482,-0.0583,False,False,False
AAPL,2025-05-15,LONG,80.0,70.6,-0.0217,-0.0477,-0.0501,False,False,False
AAPL,2025-05-16,LONG,80.0,70.3,-0.0434,-0.0757,-0.0453,False,False,False
AAPL,2025-05-19,LONG,68.1,66.2,-0.0355,-0.041,-0.0264,False,False,False
AAPL,2025-05-23,SHORT,17.0,47.6,0.024,0.0329,0.0316,False,False,False
AAPL,2025-06-17,SHORT,33.1,44.3,0.03,0.0303,0.0859,False,False,False
AAPL,2025-06-30,LONG,88.6,59.6,0.0408,0.0236,0.0192,True,True,True
AAPL,2025-07-01,LONG,92.5,63.3,0.0102,0.016,0.0113,True,True,True
AAPL,2025-07-02,LONG,95.0,68.7,-0.0114,-0.0001,-0.0114,False,False,False
AAPL,2025-07-03,LONG,95.0,69.8,-0.0113,-0.0112,-0.0111,False,False,False
AAPL,2025-07-07,LONG,78.8,61.9,0.0117,-0.0063,0.0121,True,False,True
AAPL,2025-07-08,LONG,74.7,62.0,0.0055,-0.0043,0.0209,True,False,True
AAPL,2025-07-09,LONG,73.2,63.5,-0.0119,-0.0046,0.0143,False,False,True
AAPL,2025-07-10,LONG,70.0,65.2,-0.0155,-0.0113,0.0064,False,False,True
AAPL,2025-07-11,LONG,67.8,62.1,-0.0047,0.0001,0.0129,False,True,True
AAPL,2025-07-14,LONG,68.7,56.5,0.0067,0.0185,0.026,True,True,True
AAPL,2025-07-15,LONG,69.1,57.3,0.0099,0.0253,0.0103,True,True,True
AAPL,2025-07-16,LONG,69.1,59.0,0.011,0.019,-0.0053,True,True,False
AAPL,2025-07-17,LONG,67.7,58.7,0.0209,0.0178,-0.0117,True,True,False
AAPL,2025-07-18,LONG,70.0,60.8,0.0141,0.0128,-0.0417,True,True,False
AAPL,2025-07-21,LONG,73.7,63.0,0.006,0.0074,-0.043,True,True,False
AAPL,2025-07-22,LONG,90.1,66.1,-0.0024,-0.0146,-0.0535,False,False,False
AAPL,2025-07-23,LONG,73.8,65.3,-0.0005,-0.0238,-0.0042,False,False,False
AAPL,2025-07-24,LONG,73.6,64.1,-0.0116,-0.029,0.0293,False,False,True
AAPL,2025-07-25,LONG,72.6,64.3,-0.0226,-0.0538,0.0723,False,False,True
AAPL,2025-07-28,LONG,71.5,64.6,-0.0303,-0.05,0.0625,False,False,True
AAPL,2025-07-29,LONG,67.1,55.4,-0.0421,-0.0395,0.0882,False,False,True
AAPL,2025-07-30,LONG,65.2,49.4,-0.0273,0.0201,0.1174,False,True,True
AAPL,2025-08-01,SHORT,32.0,35.9,0.0537,0.1333,0.1456,False,False,False
AAPL,2025-08-04,SHORT,35.0,38.6,0.082,0.1185,0.1367,False,False,False
AAPL,2025-08-06,LONG,79.0,58.6,0.0665,0.0954,0.061,True,True,True
AAPL,2025-08-07,LONG,95.0,66.5,0.0449,0.0591,0.0233,True,True,True
AAPL,2025-08-08,LONG,100.0,73.9,0.0185,0.0109,-0.0058,True,True,False
AAPL,2025-08-11,LONG,80.0,70.5,0.0247,0.0163,-0.0001,True,True,False
AAPL,2025-08-12,LONG,87.0,72.3,0.0084,0.004,-0.0015,True,True,False
AAPL,2025-08-13,LONG,87.0,74.8,-0.0105,-0.0314,-0.0122,False,False,False
AAPL,2025-08-14,LONG,80.0,73.7,-0.0095,-0.0339,-0.0009,False,False,False
AAPL,2025-08-15,LONG,82.2,71.3,-0.0241,-0.0165,0.0024,False,False,True
AAPL,2025-08-18,LONG,73.3,69.9,-0.0259,-0.0162,-0.0051,False,False,False
AAPL,2025-08-19,LONG,70.8,69.2,-0.0121,-0.0054,0.0343,False,False,True
AAPL,2025-08-20,LONG,73.7,60.4,0.0051,0.0198,0.0609,True,True,True
AAPL,2025-08-22,LONG,76.7,61.8,0.012,0.0192,0.0444,True,True,True
AAPL,2025-08-25,LONG,76.8,60.7,0.0238,0.0113,0.0317,True,True,True
AAPL,2025-08-26,LONG,78.9,63.3,0.0123,0.0399,-0.011,True,True,False
AAPL,2025-08-27,LONG,74.0,64.7,-0.0033,0.0403,-0.002,False,True,False
AAPL,2025-08-28,LONG,76.8,67.0,0.0254,0.0307,0.0065,True,True,True
AAPL,2025-08-29,LONG,73.8,66.1,0.0329,0.0247,0.0196,True,True,True
AAPL,2025-09-02,LONG,72.3,60.7,0.0434,0.0202,0.0367,True,True,True
AAPL,2025-09-03,LONG,85.0,70.2,-0.0025,-0.049,0.0022,False,False,True
AAPL,2025-09-04,LONG,85.1,71.3,-0.0226,-0.0407,-0.0079,False,False,False
AAPL,2025-09-05,LONG,76.1,71.1,-0.0538,-0.0234,0.0242,False,False,True
AAPL,2025-09-08,LONG,74.9,67.1,-0.033,-0.005,0.0765,False,False,True
AAPL,2025-09-09,LONG,74.0,60.0,-0.0012,0.0162,0.0857,False,True,True
AAPL,2025-09-12,LONG,65.3,57.3,0.021,0.0488,0.0914,True,True,True
AAPL,2025-09-15,LONG,69.0,60.1,0.005,0.0819,0.0749,True,True,True
AAPL,2025-09-16,LONG,73.2,61.6,0.0309,0.0684,0.0692,True,True,True
AAPL,2025-09-17,LONG,80.0,62.5,0.0715,0.0557,0.0689,True,True,True
AAPL,2025-09-18,LONG,76.8,60.5,0.0696,0.0798,0.0809,True,True,True
AAPL,2025-09-19,LONG,100.0,68.0,0.0277,0.0406,0.051,True,True,True
AAPL,2025-09-22,LONG,87.0,75.0,0.0031,-0.0064,0.0024,True,False,True
AAPL,2025-09-23,LONG,80.0,72.3,0.004,0.0008,0.0081,True,True,True
AAPL,2025-09-24,LONG,80.0,68.9,0.0084,0.0124,0.0228,True,True,True
AAPL,2025-09-25,LONG,87.0,72.0,-0.0087,0.001,-0.011,False,True,False
AAPL,2025-09-26,LONG,78.1,69.7,-0.0,0.01,-0.0399,False,True,False
AAPL,2025-09-29,LONG,68.7,68.0,0.0106,0.0089,-0.0266,True,True,False
AAPL,2025-09-30,LONG,70.2,68.2,0.0133,0.0073,-0.0269,True,True,False
AAPL,2025-10-01,LONG,72.5,68.9,0.0049,0.0102,-0.0239,True,True,False
AAPL,2025-10-02,LONG,77.2,70.3,-0.0025,-0.012,-0.0376,False,False,False
AAPL,2025-10-03,LONG,79.0,71.1,0.0002,-0.0494,-0.0222,True,False,False
