date,ticker,sector,close,score,direction,volume_surge,atr_expansion,high_proximity_pct,resistance_breakout,resistance_breakdown,rsi,roc_5d_pct,ema_trend,fwd_return_3d,fwd_return_5d,fwd_return_10d
2025-04-11,AAPL,Technology,197.2900,45.0000,NEUTRAL,,,,0,0,,,-1,-0.0196,-0.0252,0.0605
2025-04-14,AAPL,Technology,201.6400,55.0000,NEUTRAL,,,,0,0,,,1,-0.0274,-0.0137,0.0429
2025-04-15,AAPL,Technology,201.2600,55.0000,NEUTRAL,,,,0,0,,,1,-0.0444,0.0122,0.0513
2025-04-16,AAPL,Technology,193.4300,55.0000,NEUTRAL,,,,0,0,,,1,0.0282,0.0726,0.0981
2025-04-17,AAPL,Technology,196.1300,45.0000,NEUTRAL,,,,0,0,,,-1,0.0387,0.0624,0.0425
2025-04-21,AAPL,Technology,192.3200,40.0000,NEUTRAL,,,,0,0,,-2.5200,-1,0.0787,0.0879,0.0297
2025-04-22,AAPL,Technology,198.8700,42.3000,NEUTRAL,,,,0,0,,-1.3700,-1,0.0478,0.0574,-0.0062
2025-04-23,AAPL,Technology,203.7100,57.4000,NEUTRAL,,,,0,0,,1.2200,1,0.0271,0.0386,-0.0408
2025-04-24,AAPL,Technology,207.4700,65.0000,LONG,,,,0,0,,7.2600,1,0.0136,0.0238,-0.0522
2025-04-25,AAPL,Technology,208.3700,65.0000,LONG,,,,0,0,,6.2400,1,0.0154,-0.0188,-0.0514
2025-04-28,AAPL,Technology,209.2300,65.0000,LONG,,,,0,0,,8.7900,1,0.0151,-0.0535,0.0044
2025-04-29,AAPL,Technology,210.2900,65.0000,LONG,,,,0,0,,5.7400,1,-0.0277,-0.0601,0.0095
2025-04-30,AAPL,Technology,211.5800,62.7000,NEUTRAL,,,,0,0,,3.8600,1,-0.0640,-0.0765,0.0005
2025-05-01,AAPL,Technology,212.3900,59.8000,NEUTRAL,,,,0,0,,2.3800,1,-0.0694,-0.0742,-0.0075
2025-05-02,AAPL,Technology,204.4600,51.2000,NEUTRAL,,,,0,0,73.5000,-1.8800,1,-0.0443,-0.0332,0.0301
2025-05-05,AAPL,Technology,198.0300,45.0000,NEUTRAL,,,,0,0,64.7000,-5.3500,1,-0.0070,0.0612,0.0511
2025-05-06,AAPL,Technology,197.6500,45.0000,NEUTRAL,,,,0,0,64.2000,-6.0100,1,0.0001,0.0740,0.0434
2025-05-07,AAPL,Technology,195.4000,35.0000,SHORT,,,,0,0,61.2000,-7.6500,-1,0.0755,0.0834,0.0311
2025-05-08,AAPL,Technology,196.6300,35.0000,SHORT,,,,0,0,62.3000,-7.4200,-1,0.0796,0.0721,0.0209
2025-05-09,AAPL,Technology,197.6700,38.4000,NEUTRAL,,,6.9000,0,0,63.1000,-3.3200,-1,0.0709,0.0655,-0.0151
2025-05-12,AAPL,Technology,210.1500,80.0000,LONG,1.1100,,1.1000,0,0,71.7000,6.1200,1,0.0031,-0.0095,-0.0502
2025-05-13,AAPL,Technology,212.2800,80.0000,LONG,0.9200,,0.1000,0,0,72.9000,7.4000,1,-0.0078,-0.0285,-0.0588
2025-05-14,AAPL,Technology,211.6900,80.0000,LONG,0.9100,,0.3000,0,0,72.0000,8.3400,1,-0.0167,-0.0482,-0.0583
2025-05-15,AAPL,Technology,210.8100,80.0000,LONG,0.8400,,0.8000,0,0,70.6000,7.2100,1,-0.0217,-0.0477,-0.0501
2025-05-16,AAPL,Technology,210.6200,80.0000,LONG,1.0300,,0.8000,0,0,70.3000,6.5500,1,-0.0434,-0.0757,-0.0453
2025-05-19,AAPL,Technology,208.1500,68.1000,LONG,0.8700,,2.0000,0,0,66.2000,-0.9500,1,-0.0355,-0.0410,-0.0264
2025-05-20,AAPL,Technology,206.2300,64.3000,NEUTRAL,0.8000,,2.9000,0,0,63.2000,-2.8500,1,-0.0560,-0.0311,-0.0195
2025-05-21,AAPL,Technology,201.4800,45.4000,NEUTRAL,1.1200,,5.1000,0,0,56.2000,-4.8200,1,-0.0093,-0.0106,-0.0072
2025-05-22,AAPL,Technology,200.7500,45.5000,NEUTRAL,0.8800,,5.5000,0,0,55.2000,-4.7700,1,-0.0047,-0.0025,0.0127
2025-05-23,AAPL,Technology,194.6800,17.0000,SHORT,1.4800,,8.3000,0,1,47.6000,-7.5700,-1,0.0240,0.0329,0.0316
2025-05-27,AAPL,Technology,199.6000,36.8000,NEUTRAL,1.0200,,6.0000,0,0,53.2000,-4.1000,-1,0.0032,0.0153,0.0123
2025-05-28,AAPL,Technology,199.8100,38.8000,NEUTRAL,0.8100,,5.9000,0,0,53.5000,-3.1100,-1,0.0064,0.0120,-0.0082
2025-05-29,AAPL,Technology,199.3400,42.9000,NEUTRAL,0.9100,,6.1000,0,0,52.8000,-1.0600,-1,0.0166,0.0034,-0.0038
2025-05-30,AAPL,Technology,200.2400,39.5000,NEUTRAL,1.2600,0.6800,5.7000,0,0,53.9000,-0.2500,-1,0.0098,0.0153,-0.0219
2025-06-02,AAPL,Technology,201.0900,46.6000,NEUTRAL,0.6200,0.6300,5.3000,0,0,55.0000,3.2900,-1,-0.0053,-0.0012,-0.0163
2025-06-03,AAPL,Technology,202.6500,58.1000,NEUTRAL,0.8600,0.6200,4.6000,0,0,57.0000,1.5300,-1,0.0032,-0.0030,-0.0375
2025-06-04,AAPL,Technology,202.2000,57.4000,NEUTRAL,0.8300,0.6400,4.8000,0,0,56.2000,1.2000,-1,-0.0068,-0.0199,-0.0308
2025-06-05,AAPL,Technology,200.0200,40.7000,NEUTRAL,1.0600,0.6400,5.8000,0,0,52.5000,0.3400,-1,0.0102,-0.0071,0.0018
2025-06-06,AAPL,Technology,203.3000,58.1000,NEUTRAL,0.9100,0.6600,4.3000,0,0,57.1000,1.5300,-1,-0.0252,-0.0366,-0.0119
2025-06-09,AAPL,Technology,200.8400,39.8000,NEUTRAL,1.4200,0.6900,5.4000,0,0,53.0000,-0.1200,-1,-0.0112,-0.0150,-0.0057
2025-06-10,AAPL,Technology,202.0600,54.4000,NEUTRAL,1.0300,0.6500,4.9000,0,0,54.7000,-0.3000,-1,-0.0307,-0.0347,-0.0055
2025-06-11,AAPL,Technology,198.1800,36.0000,NEUTRAL,1.1600,0.6800,6.7000,0,0,48.5000,-1.9900,-1,-0.0018,-0.0111,0.0112
2025-06-12,AAPL,Technology,198.6000,38.6000,NEUTRAL,0.8300,0.6800,6.5000,0,0,49.2000,-0.7100,-1,-0.0179,0.0090,0.0094
2025-06-13,AAPL,Technology,195.8500,37.7000,NEUTRAL,0.9700,0.7000,7.8000,0,0,45.1000,-3.6600,-1,0.0007,0.0257,0.0444
2025-06-16,AAPL,Technology,197.8200,42.0000,NEUTRAL,0.8100,0.7000,6.9000,0,0,48.4000,-1.5000,-1,0.0130,0.0095,0.0474
2025-06-17,AAPL,Technology,195.0500,33.1000,SHORT,0.7400,0.6800,8.2000,0,0,44.3000,-3.4700,-1,0.0300,0.0303,0.0859
2025-06-18,AAPL,Technology,195.9800,37.8000,NEUTRAL,0.8700,0.6800,7.7000,0,0,46.0000,-1.1100,-1,0.0189,0.0225,0.0863
2025-06-20,AAPL,Technology,200.3900,41.8000,NEUTRAL,1.8500,0.6900,5.7000,0,0,53.1000,0.9000,-1,0.0028,0.0004,0.0445
2025-06-23,AAPL,Technology,200.8900,50.1000,NEUTRAL,1.0300,0.7100,5.4000,0,0,53.8000,2.5700,-1,-0.0025,0.0182,0.0422
2025-06-24,AAPL,Technology,199.6900,41.9000,NEUTRAL,0.9900,0.6800,6.0000,0,0,51.7000,0.9500,-1,0.0039,0.0375,0.0541
2025-06-25,AAPL,Technology,200.9500,46.1000,NEUTRAL,0.7400,0.6800,5.4000,0,0,53.8000,3.0300,-1,0.0179,0.0540,0.0538
2025-06-26,AAPL,Technology,200.3900,44.5000,NEUTRAL,0.9700,0.6900,5.7000,0,0,52.7000,2.2500,-1,0.0339,0.0624,0.0505
2025-06-27,AAPL,Technology,200.4700,40.1000,NEUTRAL,1.3800,0.6900,5.6000,0,0,52.8000,0.0400,-1,0.0565,0.0441,0.0375
2025-06-30,AAPL,Technology,204.5500,88.6000,LONG,1.7000,0.7400,3.7000,1,0,59.6000,1.8200,1,0.0408,0.0236,0.0192
2025-07-01,AAPL,Technology,207.1900,92.5000,LONG,1.4300,0.7800,2.5000,1,0,63.3000,3.7500,1,0.0102,0.0160,0.0113
2025-07-02,AAPL,Technology,211.8000,95.0000,LONG,1.1900,0.8300,0.3000,1,0,68.7000,5.4000,1,-0.0114,-0.0001,-0.0114
2025-07-03,AAPL,Technology,212.9000,95.0000,LONG,0.6000,0.8200,0.0000,1,0,69.8000,6.2400,1,-0.0113,-0.0112,-0.0111
2025-07-07,AAPL,Technology,209.3100,78.8000,LONG,0.8700,0.8700,1.7000,0,0,61.9000,4.4100,1,0.0117,-0.0063,0.0121
2025-07-08,AAPL,Technology,209.3700,74.7000,LONG,0.7400,0.8500,1.7000,0,0,62.0000,2.3600,1,0.0055,-0.0043,0.0209
2025-07-09,AAPL,Technology,210.5000,73.2000,LONG,0.8500,0.8300,1.1000,0,0,63.5000,1.6000,1,-0.0119,-0.0046,0.0143
2025-07-10,AAPL,Technology,211.7700,70.0000,LONG,0.7900,0.8400,0.5000,0,0,65.2000,-0.0100,1,-0.0155,-0.0113,0.0064
2025-07-11,AAPL,Technology,210.5200,67.8000,LONG,0.7100,0.8000,1.1000,0,0,62.1000,-1.1200,1,-0.0047,0.0001,0.0129
2025-07-14,AAPL,Technology,207.9900,68.7000,LONG,0.7100,0.8300,2.3000,0,0,56.5000,-0.6300,1,0.0067,0.0185,0.0260
2025-07-15,AAPL,Technology,208.4800,69.1000,LONG,0.7800,0.8200,2.1000,0,0,57.3000,-0.4300,1,0.0099,0.0253,0.0103
2025-07-16,AAPL,Technology,209.5200,69.1000,LONG,0.8800,0.8500,1.6000,0,0,59.0000,-0.4600,1,0.0110,0.0190,-0.0053
2025-07-17,AAPL,Technology,209.3800,67.7000,LONG,0.8900,0.8400,1.7000,0,0,58.7000,-1.1300,1,0.0209,0.0178,-0.0117
2025-07-18,AAPL,Technology,210.5400,70.0000,LONG,0.9000,0.8400,1.1000,0,0,60.8000,0.0100,1,0.0141,0.0128,-0.0417
2025-07-21,AAPL,Technology,211.8400,73.7000,LONG,0.9400,0.8500,0.5000,0,0,63.0000,1.8500,1,0.0060,0.0074,-0.0430
2025-07-22,AAPL,Technology,213.7500,90.1000,LONG,0.8800,0.8400,0.0000,1,0,66.1000,2.5300,1,-0.0024,-0.0146,-0.0535
2025-07-23,AAPL,Technology,213.5000,73.8000,LONG,0.9000,0.8400,0.1000,0,0,65.3000,1.9000,1,-0.0005,-0.0238,-0.0042
2025-07-24,AAPL,Technology,213.1100,73.6000,LONG,0.8900,0.8300,0.3000,0,0,64.1000,1.7800,1,-0.0116,-0.0290,0.0293
