ticker,peg_external,peg_used,peg_source,peg_was_none,peg_recovered
AAPL,,1.8410,internal_earnings_growth,True,True
MSFT,,0.4300,internal_earnings_growth,True,True
GOOGL,,1.0020,internal_earnings_growth,True,True
NVDA,,0.4250,internal_earnings_growth,True,True
META,,2.6700,internal_earnings_growth,True,True
AMZN,,6.9220,internal_earnings_growth,True,True
TSLA,,,no_growth_data,True,False
HD,,,no_growth_data,True,False
NKE,,,no_growth_data,True,False
WMT,,,no_growth_data,True,False
JPM,,0.8510,internal_earnings_growth,True,True
V,,1.7050,internal_earnings_growth,True,True
MA,,1.3000,internal_earnings_growth,True,True
BRK-B,,,no_growth_data,True,False
GS,,0.6760,internal_earnings_growth,True,True
UNH,,,no_growth_data,True,False
JNJ,,,no_growth_data,True,False
PFE,,,no_growth_data,True,False
ABBV,,,no_growth_data,True,False
MRK,,,no_growth_data,True,False
XOM,,,no_growth_data,True,False
CVX,,,no_growth_data,True,False
LIN,,,no_growth_data,True,False
APD,,,no_pe,True,False
FCX,,0.9480,internal_earnings_growth,True,True
SMCI,,1.0370,internal_earnings_growth,True,True
MELI,,,no_growth_data,True,False
COIN,,,no_growth_data,True,False
MSTR,,,no_pe,True,False
PLTR,,0.3480,internal_earnings_growth,True,True
