agent,n_signals_ema,n_long,n_short,n_long_ema,n_short_ema,avg_score,win_rate_20d_gross_pct,pnl_gross_pct,avg_ret_gross_pct,win_rate_20d_net_pct,pnl_net_pct,avg_ret_net_pct,cost_drag_pct,delta_wr_gross_net_pp
aswath_damodaran,437,724,9,430,7,58.300,59.000,1193.110,2.607,58.600,1151.610,2.505,41.500,0.500
bill_ackman,820,1313,82,783,37,64.400,56.700,1250.870,1.978,55.900,1177.070,1.877,73.800,0.900
peter_lynch,446,692,78,413,33,55.000,55.800,1370.930,3.234,55.600,1324.130,3.114,46.800,0.200
stanley_druckenmiller,930,1394,217,822,108,62.900,56.300,1505.570,1.848,55.600,1448.970,1.732,56.600,0.800
warren_buffett,997,1560,156,923,74,65.200,56.000,1309.100,1.840,55.200,1232.400,1.731,76.700,0.800
phil_fisher,900,1472,78,866,34,67.800,55.800,1840.280,2.125,54.900,1748.280,2.016,92.000,0.900
growth_agent,795,1238,156,728,67,64.300,54.600,1667.030,2.278,54.200,1592.130,2.167,74.900,0.400
charlie_munger,925,1462,156,852,73,66.900,55.000,1225.680,1.973,54.100,1141.980,1.867,83.700,1.000
peter_lynch_fix7,481,692,156,412,69,58.400,54.100,1205.570,2.895,53.800,1162.470,2.777,43.100,0.200
mohnish_pabrai,666,917,297,544,122,57.100,53.900,1874.540,3.448,53.800,1818.740,3.328,55.800,0.200
rakesh_jhunjhunwala,683,861,383,517,166,60.200,53.900,931.380,2.664,53.700,897.080,2.563,34.300,0.100
cathie_wood,661,848,390,491,170,55.000,53.100,1665.350,3.036,52.800,1616.650,2.911,48.700,0.300
ben_graham,490,390,624,222,268,47.100,46.500,162.560,2.293,46.700,159.360,2.177,3.200,-0.200
michael_burry,758,229,1391,140,618,40.600,44.200,-1170.500,2.070,44.300,-1121.900,1.969,-48.600,-0.100
