agente,n_days,ann_return_pct,sharpe,sortino,max_drawdown_pct,calmar
aswath_damodaran,72,42.23,4.877,8.497,-2.8,15.082
ben_graham,78,36.69,4.49,9.444,-1.12,32.762
bill_ackman,78,27.25,3.971,7.14,-1.56,17.456
cathie_wood,78,36.61,4.371,8.034,-1.99,18.44
charlie_munger,78,27.22,3.847,7.27,-1.94,14.034
growth_agent,78,23.63,3.414,5.863,-1.92,12.275
michael_burry,78,30.57,4.128,7.47,-1.65,18.569
mohnish_pabrai,78,51.61,5.69,11.429,-1.42,36.229
peter_lynch,76,36.44,4.109,6.635,-2.77,13.162
peter_lynch_fix7,78,35.68,4.357,7.26,-2.62,13.592
phil_fisher,78,26.06,4.314,7.195,-1.01,25.694
rakesh_jhunjhunwala,78,33.7,4.674,8.48,-1.38,24.383
stanley_druckenmiller,78,28.55,3.299,5.218,-1.98,14.42
warren_buffett,78,32.26,3.824,7.311,-1.58,20.418
Portfolio_Aggregato,78,31.61,4.692,8.274,-1.44,21.92
SPY,1539,17.12,0.554,0.682,-33.72,0.508
